0.01 0.03 2.00 0.01 0.97
0.03 0.06 2.00 0.03 0.94
0.04 0.09 2.00 0.04 0.91
0.06 0.12 2.00 0.06 0.88
0.07 0.15 2.00 0.07 0.85
0.09 0.18 2.00 0.08 0.82
0.11 0.21 2.00 0.09 0.79
0.12 0.24 2.00 0.11 0.76
0.14 0.27 2.00 0.12 0.73
0.15 0.30 2.00 0.13 0.70
0.17 0.33 2.00 0.14 0.67
0.18 0.36 2.00 0.15 0.64
0.20 0.39 2.00 0.16 0.61
0.21 0.42 2.00 0.17 0.58
0.23 0.45 2.00 0.17 0.55
0.24 0.48 2.00 0.18 0.52
0.26 0.51 2.00 0.19 0.49
0.27 0.54 2.00 0.20 0.46
0.28 0.57 2.00 0.20 0.43
0.30 0.60 2.00 0.21 0.40
0.32 0.63 2.00 0.22 0.37
0.33 0.66 2.00 0.22 0.34
0.34 0.69 2.00 0.23 0.31
0.36 0.72 2.00 0.23 0.28
0.38 0.75 2.00 0.23 0.25
0.39 0.78 2.00 0.24 0.22
0.41 0.81 2.00 0.24 0.19
0.42 0.84 2.00 0.24 0.16
0.44 0.87 2.00 0.25 0.13
0.45 0.90 2.00 0.25 0.10
0.47 0.93 2.00 0.25 0.07
0.48 0.96 2.00 0.25 0.04
0.50 0.99 2.00 0.25 0.01
0.51 1.02 2.00 0.25 -0.02
0.53 1.05 2.00 0.25 -0.05
0.54 1.08 2.00 0.25 -0.08
0.56 1.11 2.00 0.25 -0.11
0.57 1.14 2.00 0.25 -0.14
0.58 1.17 2.00 0.24 -0.17
0.60 1.20 2.00 0.24 -0.20
0.61 1.23 2.00 0.24 -0.23
0.63 1.26 2.00 0.23 -0.26
0.65 1.29 2.00 0.23 -0.29
0.66 1.32 2.00 0.22 -0.32
0.68 1.35 2.00 0.22 -0.35
0.69 1.38 2.00 0.21 -0.38
0.70 1.41 2.00 0.21 -0.41
0.72 1.44 2.00 0.20 -0.44
0.73 1.47 2.00 0.19 -0.47
0.75 1.50 2.00 0.19 -0.50
0.77 1.53 2.00 0.18 -0.53
0.78 1.56 2.00 0.17 -0.56
0.80 1.59 2.00 0.16 -0.59
0.81 1.62 2.00 0.15 -0.62
0.82 1.65 2.00 0.14 -0.65
0.84 1.68 2.00 0.13 -0.68
0.85 1.71 2.00 0.12 -0.71
0.87 1.74 2.00 0.11 -0.74
0.89 1.77 2.00 0.10 -0.77
0.90 1.80 2.00 0.09 -0.80
0.92 1.83 2.00 0.08 -0.83
0.93 1.86 2.00 0.07 -0.86
0.94 1.89 2.00 0.05 -0.89
0.96 1.92 2.00 0.04 -0.92
0.97 1.95 2.00 0.02 -0.95
0.99 1.98 2.00 0.01 -0.98
1.00 2.01 2.00 -0.01 -1.01
1.02 2.04 2.00 -0.02 -1.04
1.03 2.07 2.00 -0.04 -1.07
1.05 2.10 2.00 -0.05 -1.10
1.06 2.13 2.00 -0.07 -1.13
1.08 2.16 2.00 -0.09 -1.16
1.10 2.19 2.00 -0.10 -1.19
1.11 2.22 2.00 -0.12 -1.22
1.13 2.25 2.00 -0.14 -1.25
1.14 2.28 2.00 -0.16 -1.28
1.16 2.31 2.00 -0.18 -1.31
1.17 2.34 2.00 -0.20 -1.34
1.19 2.37 2.00 -0.22 -1.37
1.20 2.40 2.00 -0.24 -1.40
1.22 2.43 2.00 -0.26 -1.43
1.23 2.46 2.00 -0.28 -1.46
1.25 2.49 2.00 -0.31 -1.49
1.26 2.52 2.00 -0.33 -1.52
1.27 2.55 2.00 -0.35 -1.55
1.29 2.58 2.00 -0.37 -1.58
1.30 2.61 2.00 -0.40 -1.61
1.32 2.64 2.00 -0.42 -1.64
1.34 2.67 2.00 -0.45 -1.67
1.35 2.70 2.00 -0.47 -1.70
1.37 2.73 2.00 -0.50 -1.73
1.38 2.76 2.00 -0.52 -1.76
1.40 2.79 2.00 -0.55 -1.79
1.41 2.82 2.00 -0.58 -1.82
1.43 2.85 2.00 -0.61 -1.85
